dt,comptime,Phe_Bid,Phe_Ask,Phe_chng,Phe_bid_chng,Phe_ask_chng,phe_sig,Phe_diff,coin_price
01/10/2023 22:55:42,1673387742,49142.165900000015,48093.72219999999,,0.275,0.267,,,
01/10/2023 22:56:00,1673387760,35614.12740000003,48337.60317000002,,-0.38,0.005,SHORT,26.322,17459.3
01/10/2023 22:56:31,1673387791,50623.614640000014,49539.82333000002,,0.296,0.024,LONG,2.141,17465.5
01/10/2023 22:57:03,1673387823,50794.16129000001,31324.945600000006,,0.003,-0.581,LONG,38.33,17465.5
01/10/2023 22:57:34,1673387854,57052.09594,37220.17802000001,,0.11,0.158,LONG,34.761,17466.5
01/10/2023 22:58:04,1673387884,38585.3709,39951.3864,,-0.479,0.068,SHORT,3.419,17472.3
01/10/2023 22:58:35,1673387915,50224.38853,37812.62699,,0.232,-0.057,LONG,24.713,17472.3
01/10/2023 22:59:06,1673387946,48875.97433000001,39563.614160000005,,-0.028,0.044,LONG,19.053,17472.4
01/10/2023 22:59:37,1673387977,49747.050370000026,42056.75320000001,,0.018,0.059,LONG,15.459,17467.6
01/10/2023 23:00:08,1673388008,52024.47601000001,52742.12864000002,,0.044,0.203,SHORT,1.361,17462.5
01/10/2023 23:00:38,1673388038,27800.612740000004,49782.76456,,-0.871,-0.059,SHORT,44.156,17457.2
01/10/2023 23:01:08,1673388068,40177.77463000001,50071.85148,,0.308,0.006,SHORT,19.76,17454.6
01/10/2023 23:01:38,1673388098,40565.07644,50454.5186,,0.01,0.008,SHORT,19.601,17453.4
01/10/2023 23:02:09,1673388129,29368.567360000005,50411.61892,,-0.381,-0.001,SHORT,41.742,17453.3
01/10/2023 23:02:40,1673388160,25505.79194000001,49749.99566,,-0.151,-0.013,SHORT,48.732,17451.0
01/10/2023 23:03:10,1673388190,24439.53607000001,48207.24918,,-0.044,-0.032,SHORT,49.303,17447.9
01/10/2023 23:03:40,1673388220,32831.306880000004,51591.13285000001,,0.256,0.066,SHORT,36.363,17447.8
01/10/2023 23:04:11,1673388251,35558.186080000014,53209.52090000001,,0.077,0.03,SHORT,33.173,17447.9
01/10/2023 23:04:42,1673388282,33747.38108000001,55141.3177,,-0.054,0.035,SHORT,38.798,17447.9
01/10/2023 23:05:12,1673388312,34430.38978000001,55972.45436000001,,0.02,0.015,SHORT,38.487,17447.4
01/10/2023 23:05:42,1673388342,31671.93119000002,59020.011500000015,,-0.087,0.052,SHORT,46.337,17443.1
01/10/2023 23:06:12,1673388372,39050.75805999999,45067.24739000002,,0.189,-0.31,SHORT,13.35,17443.2
01/10/2023 23:06:43,1673388403,46217.71263,32240.67163,,0.155,-0.398,LONG,30.242,17447.1
01/10/2023 23:07:14,1673388434,36563.49462000001,56445.91980999999,,-0.264,0.429,SHORT,35.224,17452.1
01/10/2023 23:07:46,1673388466,43264.08927,73360.73155,,0.155,0.231,SHORT,41.026,17452.1
01/10/2023 23:08:16,1673388496,35774.67428,50527.91669,,-0.209,-0.452,SHORT,29.198,17452.1
01/10/2023 23:08:46,1673388526,51089.188920000015,47641.97737000001,,0.3,-0.061,LONG,6.747,17452.9
01/10/2023 23:09:17,1673388557,50964.739600000015,50780.342130000005,,-0.002,0.062,LONG,0.362,17457.3
01/10/2023 23:09:47,1673388587,47094.10912000001,51822.78601,,-0.082,0.02,SHORT,9.125,17456.4
01/10/2023 23:16:40,1673389000,30140.68320000001,49840.58385,,-0.562,-0.04,SHORT,39.526,17440.6
01/10/2023 23:17:11,1673389031,24278.95349,50346.95217000002,,-0.241,0.01,SHORT,51.777,17433.4
01/10/2023 23:17:41,1673389061,28413.48808,50672.44295000001,,0.146,0.006,SHORT,43.927,17436.3
01/10/2023 23:18:11,1673389091,28630.842779999995,49428.06812,,0.008,-0.025,SHORT,42.076,17434.4
01/10/2023 23:18:42,1673389122,31000.16365,49078.10511,,0.076,-0.007,SHORT,36.835,17433.7
01/10/2023 23:19:13,1673389153,35702.960920000005,47563.94311000001,,0.132,-0.032,SHORT,24.937,17429.2
01/10/2023 23:19:42,1673389182,35753.44058000001,49068.2848,,0.001,0.031,SHORT,27.135,17430.1
01/10/2023 23:20:13,1673389213,34063.25510000002,47342.41526,,-0.05,-0.036,SHORT,28.049,17433.6
01/10/2023 23:20:43,1673389243,35615.947750000014,45951.64196,,0.044,-0.03,SHORT,22.493,17440.6
01/10/2023 23:21:13,1673389273,25908.623090000016,31151.38141000001,,-0.375,-0.475,SHORT,16.83,17443.1
01/10/2023 23:21:44,1673389304,36644.77485999999,47857.22854000003,,0.293,0.349,SHORT,23.429,17444.6
01/10/2023 23:22:14,1673389334,43581.48506999999,50569.957670000025,,0.159,0.054,SHORT,13.819,17444.7
01/10/2023 23:22:44,1673389364,42446.05712,54332.12666000003,,-0.027,0.069,SHORT,21.877,17444.6
